Group (g),Time (t),"ATT(g,t)",Std. Error,CI Lower,CI Upper,Significant
1973.0,1972,-4.346141497294111,7.175042728645276,-18.409225245438854,9.71694225085063,
1973.0,1973,13.462881310780842,6.793567130889495,0.14748973423743195,26.778272887324253,***
1973.0,1974,9.578769683837889,7.712281325782928,-5.53730171469665,24.694841082372427,
1973.0,1975,19.357877131870815,9.659073245156563,0.4260935713639533,38.28966069237768,***
1973.0,1976,13.394284947713215,7.950894598986285,-2.1894684662999033,28.978038361726334,
1973.0,1977,13.862459818522137,8.783194307030145,-3.3526010232569483,31.07752066030122,
1973.0,1978,7.635423151652018,5.582975504598871,-3.3072088373617685,18.578055140665803,
1973.0,1979,11.49457410176595,8.641382395888177,-5.442535394174877,28.43168359770678,
1973.0,1980,9.061721801757818,6.289764682521523,-3.266216975984367,21.389660579500003,
1973.0,1981,16.29410362243653,10.355618498044157,-4.002908633730016,36.59111587860308,
1973.0,1982,5.247554016113286,6.489157424770315,-7.471194536436531,17.966302568663103,
1973.0,1983,7.349128723144533,8.753617080562632,-9.807960754758225,24.50621820104729,
1973.0,1984,15.21923141479492,5.3264696321896485,4.77935093570321,25.65911189388663,***
1974.0,1965,-4.655106342200078,5.112736384504417,-14.676069655828735,5.365856971428579,
1974.0,1966,5.8579398068514745,5.11849639184258,-4.174313121159983,15.890192734862932,
1974.0,1967,-3.892812671083392,2.968679236180131,-9.711423973996448,1.925798631829664,
1974.0,1968,-3.5804976261023347,4.932834138810398,-13.248852538170713,6.087857285966044,
1974.0,1969,2.541190485800468,2.313954084298292,-1.9941595194241848,7.076540491025121,
1974.0,1970,4.869914438532688,2.7655147604035686,-0.5504944918583066,10.290323368923683,
1974.0,1971,-7.753304221413356,3.5523067619871864,-14.715825474908241,-0.7907829679184708,***
1974.0,1972,9.186576374790125,4.1031935942853215,1.1443169299908948,17.228835819589357,***
1974.0,1973,2.92990345425076,5.661172293267043,-8.165994240552646,14.025801149054164,
1974.0,1974,-4.247394349839953,5.3365280813538725,-14.706989389293543,6.212200689613636,
1974.0,1975,2.027914955502464,6.61912359919391,-10.945567298917599,15.001397209922526,
1974.0,1976,-4.25366274515788,8.22088790231476,-20.366603033694805,11.859277543379047,
1974.0,1977,-5.788052241007489,4.551404058100169,-14.708804194883818,3.132699712868841,
1974.0,1978,-9.063165028889976,5.64263240880529,-20.122724550148344,1.9963944923683918,
1974.0,1979,-1.6627330780029308,1.9851124964048303,-5.553553570956399,2.2280874149505365,
1974.0,1980,-8.137498219807945,8.189670132691711,-24.1892516798837,7.91425524026781,
1974.0,1981,-4.53673108418783,3.8123463129490323,-12.008929857567932,2.935467689192273,
1974.0,1982,-13.209203084309898,6.280668749975072,-25.51931383426104,-0.8990923343587571,***
1974.0,1983,-10.844304402669273,5.742373302209721,-22.099356075000326,0.41074726966177977,
1974.0,1984,-15.926205952962242,4.296737708996826,-24.34781186259602,-7.5046000433284625,***
1975.0,1965,21.212792733136354,15.091842653291032,-8.367218867314069,50.79280433358677,
1975.0,1966,-7.220084414762613,5.065249855686569,-17.14797413190829,2.707805302383062,
1975.0,1967,-1.8101262485279748,2.7410820595226943,-7.182647085192455,3.562394588136506,
1975.0,1968,8.514745712280273,4.711861200689948,-0.7205022410720243,17.749993665632573,
1975.0,1969,-8.420991778373718,8.362989225517719,-24.812450660388446,7.97046710364101,
