"group","time","att","se","ci_lower","ci_upper"
1971,1965,-4.54589899185256,4.80873149112749,-13.9710127144624,4.87921473075732
1971,1966,-5.68427067084853,3.37768180064417,-12.3045270001111,0.935985658414038
1971,1967,4.01805094075321,4.05372082761896,-3.92724188137996,11.9633437628864
1971,1968,5.88369061324396,3.41467766920157,-0.809077618391109,12.576458844879
1971,1969,-4.34916713250377,4.05809818510799,-12.3030395753154,3.60470531030789
1971,1970,-0.302031598772317,5.28684210945977,-10.6642421333135,10.0601789357688
1971,1971,-7.82758834838867,6.27359088085288,-20.1238264748603,4.46864977808298
1971,1972,-10.5433188847133,7.54474346082452,-25.3310160679294,4.24437829850275
1971,1973,-2.23247852779571,8.09105811852225,-18.0909524400993,13.6259953845079
1971,1974,9.25637254260835,5.65835313652563,-1.83399960498189,20.3467446901986
1971,1975,7.36315427507673,4.9739277758824,-2.38574416565278,17.1120527158062
1971,1976,3.50360071091425,13.1581685208514,-22.2864095899546,29.293611011783
1971,1977,9.39154770260766,7.78410084715026,-5.86528995780685,24.6483853630222
1971,1978,-0.136657351539249,8.05620063096959,-15.9268105882397,15.6534958851612
1971,1979,1.98497027442568,4.91348087660803,-7.64545224372606,11.6153927925774
1971,1980,1.27994428362165,4.43328679714612,-7.40929783878474,9.96918640602804
1971,1981,5.00070081438337,7.35323273358283,-9.41163534343898,19.4130369722057
1971,1982,-2.00693239484515,4.95523021775713,-11.7191836216491,7.70531883195882
1971,1983,0.312039511544358,5.28370089430189,-10.0440142412873,10.6680932643761
1971,1984,8.01307187761579,4.83446797465369,-1.46248535270544,17.488629107937
1972,1965,1.67717320991285,2.25965407465809,-2.751748776417,6.1060951962427
1972,1966,2.33603096008301,4.67032864563576,-6.81781318536308,11.4898751055291
1972,1967,-4.19529458248254,5.56424839330094,-15.1012214333524,6.71063226838731
1972,1968,8.69163732817679,3.78682110619567,1.26946796003327,16.1138066963203
1972,1969,-9.9465455496183,3.73119639970555,-17.2596904930412,-2.63340060619542
1972,1970,-1.27372864471085,2.32700996793158,-5.83466818185675,3.28721089243506
1972,1971,2.84682337443034,3.68805315207221,-4.38176080363119,10.0754075524919
1972,1972,-5.46568997701009,6.33175458182017,-17.8759289573776,6.94454900335745
1972,1973,0.0605591138203945,6.95424889422842,-13.5697687188673,13.6908869465081
1972,1974,1.57405344645182,6.7310342816404,-11.6187737455634,14.766880638467
1972,1975,3.62592406499954,5.22977058080087,-6.62442627337017,13.8762744033692
1972,1976,1.28785578409831,12.9924298076557,-24.1773066389068,26.7530182071035
1972,1977,8.59538205464681,10.3878666309151,-11.7648365419469,28.9556006512405
1972,1978,-7.59921582539876,6.56130328132904,-20.4593702568037,5.26093860600615
1972,1979,3.15188916524251,11.6106683391041,-19.6050207794016,25.9087991098866
1972,1980,1.67633056640625,6.33232024965719,-10.7350171229218,14.0876782557343
1972,1981,12.4138876597087,8.912741219557,-5.05508513062306,29.8828604500404
1972,1982,-0.00472005208333287,7.42130608785046,-14.5504799842702,14.5410398801036
1972,1983,2.96419397989908,11.0253602725686,-18.6455121543355,24.5739001141336
1972,1984,13.3263314565023,5.44911470735616,2.64606663008421,24.0065962829203
